title,studio,rottenTomatoesScore,audienceScore,story,genre,nTheatersOpening,usBoxOfficeAvgOpeningWeekend,grossDomestic,grossForeign,grossWorldwide,budget,profitability,openingWeekend,oscar,bafta,source
The Rite,Warner Bros,20,43,Monster Force,Horror,2985,4955,33.00,63.00,96.00,37,259.46%,14.80,,,http://boxofficemojo.com/movies/?id=rite.htm 
"Crazy, Stupid, Love",Warner Bros,78,81,Discovery,Romance,3020,6326,84.34,58.50,142.84,50,285.68%,19.10,,,http://boxofficemojo.com/movies/?id=crazystupidlove.htm
Red Riding Hood,Warner Bros,11,41,Monster Force,Horror,3030,4622,37.66,51.50,89.16,42,212.29%,14.01,,,http://boxofficemojo.com/movies/?id=redridinghood.htm
Horrible Bosses,Warner Bros,69,72,Revenge,Comedy,3040,9310,117.54,92.10,209.64,35,598.97%,28.30,,,http://boxofficemojo.com/movies/?id=horriblebosses.htm
Contagion,Warner Bros,84,63,The Riddle,Thriller,3222,6935,75.66,59.80,135.46,60,225.76%,22.40,,,http://boxofficemojo.com/movies/?id=contagion.htm
Arthur,Warner Bros,26,49,Sacrifice,Comedy,3276,3731,33.04,12.70,45.74,40,114.34%,12.22,,,http://boxofficemojo.com/movies/?id=arthur2011.htm
Sherlock Holmes 2,Warner Bros,60,79,Pursuit,Action,3703,10704,186.36,335.6,521.96,125,417.57%,39.63,,,
Green Lantern,Warner Bros,27,48,Metamorphosis,Action,3816,13935,116.60,103.25,219.85,200,109.93%,53.17,,,http://boxofficemojo.com/movies/?id=greenlantern.htm
Harry Potter and the Deathly Hallows Part 2,Warner Bros,96,92,Rivalry,Fantasy,4375,38672,381.01,947.10,"1,328.11",125,1062.49%,169.19,,,http://boxofficemojo.com/movies/?id=harrypotter72.htm
Extremely Loud and Incredibly Close,Warner Bros,47,62,,Drama,2630,3820,31.59,14.4,45.99,40,114.98%,10.04,,,http://boxofficemojo.com/movies/?id=extremelyloud.htm
New Year's Eve,Warner Bros,8,48,Love,Romance,3505,3714,54.54,87.5,142.04,56,253.64%,13.01,,,http://boxofficemojo.com/movies/?id=newyearseve.htm
The Company Men,The Weinstein Company,66,55,Discovery,Drama,106,6111,4.40,0.40,4.80,15,32.00%,0.64,,,http://boxofficemojo.com/movies/?id=companymen.htm
The Artist,The Weinstein Company,97,91,,Drama,662,3583,40.45,65.29,105.74,16,660.88%,2.37,"Picture, Actor, Director",,http://boxofficemojo.com/movies/?id=artist.htm
The Iron Lady,The Weinstein Company,53,54,,Drama,802,6749,27.94,53.47,81.41,13,626.23%,5.41,,,http://boxofficemojo.com/movies/?id=ironlady.htm
Spy Kids: All The Time in the World,The Weinstein Company,22,40,Quest,Action,3295,3534,38.54,35.54,74.08,27,274.37%,11.64,,,http://boxofficemojo.com/movies/?id=spykids4.htm
Scream 4,The Weinstein Company,58,57,Monster Force,Horror,3305,5656,38.18,58.96,97.14,40,242.84%,18.69,,,http://boxofficemojo.com/movies/?id=scream4.htm
Apollo 18,The Weinstein Company,23,31,Monster Force,Horror,3328,2615,17.69,7.88,25.56,5,511.24%,8.70,,,http://boxofficemojo.com/movies/?id=apollo18.htm
